Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2022-05-15,Polkadot,DOT,11.8,11649063178.34,987579315
2022-05-01,Polkadot,DOT,15.38,15190677414.53,987579315
2022-04-24,Polkadot,DOT,18.16,17933115344.58,987579315
2022-04-03,Polkadot,DOT,23.21,22919985030.75,987579315
2022-05-08,Polkadot,DOT,13.25,13089449126.74,987579315
2022-04-17,Polkadot,DOT,17.78,17559628611.83,987579315
2022-03-27,Polkadot,DOT,22.45,22169044497.21,987579315
2022-03-20,Polkadot,DOT,18.64,18407139481.67,987579315
2022-04-10,Polkadot,DOT,19.29,19045769297.97,987579315
2022-03-13,Polkadot,DOT,17.25,17033700978.48,987579315
2022-03-06,Polkadot,DOT,16.98,16767936113.35,987579315
2022-02-27,Polkadot,DOT,17.47,17256381347.69,987579315
2022-02-20,Polkadot,DOT,16.93,16720220594.34,987579315
2022-02-13,Polkadot,DOT,18.83,18597584972.01,987579315
2022-02-06,Polkadot,DOT,21.9,21631280299.89,987579315
2022-01-30,Polkadot,DOT,18.17,17946811831.48,987579315
2022-01-23,Polkadot,DOT,18.83,18594909764.05,987579315
2021-12-12,Polkadot,DOT,29.61,29241216672.52,987579315
2022-01-16,Polkadot,DOT,27.67,27321509197.88,987579315
2022-01-02,Polkadot,DOT,29.73,29361884232.15,987579315
2021-12-26,Polkadot,DOT,31.33,30943660939.69,987579315
2021-12-19,Polkadot,DOT,24.79,24483473496.75,987579315
2021-12-05,Polkadot,DOT,28.31,27958507597.69,987579315
2021-11-28,Polkadot,DOT,35.77,35320893262.35,987579315
2022-01-09,Polkadot,DOT,24.63,24321430602.0,987579315
2021-11-21,Polkadot,DOT,42.01,41483968548.71,987579315
2021-11-14,Polkadot,DOT,46.4,45825480831.19,987579315
2021-11-07,Polkadot,DOT,52.28,51628651803.81,987579315
2021-10-17,Polkadot,DOT,42.07,41551364025.73,987579315
2021-10-31,Polkadot,DOT,42.74,42211209861.97,987579315
2021-10-24,Polkadot,DOT,42.39,41859199395.07,987579315
2021-10-10,Polkadot,DOT,34.47,34038321014.33,987579315
2021-09-26,Polkadot,DOT,28.83,28470590053.41,987579315
2021-09-19,Polkadot,DOT,33.8,33381499814.59,987579315
2021-09-12,Polkadot,DOT,35.77,35329994513.65,987579315
2021-09-05,Polkadot,DOT,34.41,33981408465.06,987579315
2021-08-29,Polkadot,DOT,25.73,25413296861.3,987579315
2021-08-15,Polkadot,DOT,23.17,22861284470.56,986505059
2021-10-03,Polkadot,DOT,32.11,31706484564.47,987579315
2021-08-08,Polkadot,DOT,19.68,19326877059.68,982249789
2021-07-25,Polkadot,DOT,13.71,13414861392.88,978287216
2021-07-18,Polkadot,DOT,12.68,12381218060.6,976271535
2021-07-04,Polkadot,DOT,16.01,15335470065.5,957627383
2021-08-01,Polkadot,DOT,18.41,18050367644.58,980254252
2021-06-27,Polkadot,DOT,15.02,14348288115.63,955559127
2021-06-20,Polkadot,DOT,20.67,19717389790.59,953804292
2021-05-23,Polkadot,DOT,18.03,16949899549.34,940123359
2021-06-13,Polkadot,DOT,22.08,21016241301.27,951980573
2021-06-06,Polkadot,DOT,24.2,22881676131.14,945461319
2021-05-30,Polkadot,DOT,20.47,19308719941.87,943085463
2021-07-11,Polkadot,DOT,15.48,14857096978.12,959609841
2021-05-16,Polkadot,DOT,42.63,40009764155.32,938502097
2021-05-09,Polkadot,DOT,40.31,37754263203.32,936531906
2021-05-02,Polkadot,DOT,36.65,34253692068.17,934500915
2021-04-25,Polkadot,DOT,29.76,27761506661.59,932768271
2021-04-18,Polkadot,DOT,37.35,34770061976.39,930989386
2021-04-04,Polkadot,DOT,44.65,41344587411.55,925924767
2021-04-11,Polkadot,DOT,41.42,38470489156.56,928713982
2021-03-28,Polkadot,DOT,32.3,29845818892.46,924079445
2021-02-28,Polkadot,DOT,33.61,30723422512.25,914190151
2021-03-21,Polkadot,DOT,36.79,33946390268.72,922616461
2021-03-14,Polkadot,DOT,36.58,33665914792.94,920355510
2021-02-07,Polkadot,DOT,19.79,17972785450.43,908009247
2021-03-07,Polkadot,DOT,35.19,32235883114.92,916087270
2021-02-21,Polkadot,DOT,39.7,36242864920.83,913005243
2021-02-14,Polkadot,DOT,27.1,24608750492.5,908214906
2021-08-22,Polkadot,DOT,27.74,27392362947.28,987579315
2021-01-31,Polkadot,DOT,16.12,14603207739.22,905832287
2021-01-24,Polkadot,DOT,18.0,16268654954.28,903831755
2021-01-17,Polkadot,DOT,16.98,15306722569.89,901230178
2021-01-10,Polkadot,DOT,9.31,8361125118.44,898558018
2021-01-03,Polkadot,DOT,10.03,8995148461.43,896530965
2020-12-27,Polkadot,DOT,5.14,4592307413.22,894107647
2020-12-20,Polkadot,DOT,5.19,4628079243.35,891992110
2020-12-13,Polkadot,DOT,4.89,4339944731.18,887294345
2020-12-06,Polkadot,DOT,5.14,4547051375.88,885352072
2020-11-29,Polkadot,DOT,5.19,4576446420.03,881721753
2020-11-22,Polkadot,DOT,5.48,4825834134.07,880329011
2020-11-15,Polkadot,DOT,4.38,3847021230.33,878317685
2020-11-08,Polkadot,DOT,4.37,3727855175.86,852647705
2020-11-01,Polkadot,DOT,4.23,3602960876.34,852647705
2020-10-25,Polkadot,DOT,4.34,3696424431.58,852647705
2020-10-18,Polkadot,DOT,4.1,3499821171.1,852647705
2020-10-11,Polkadot,DOT,4.26,3634122785.45,852647705
2020-10-04,Polkadot,DOT,4.17,3558875853.01,852647705
2020-09-27,Polkadot,DOT,4.31,3675151411.96,852647705
2020-09-20,Polkadot,DOT,4.67,3983952931.6,852647705
2020-09-13,Polkadot,DOT,5.3,4517285669.33,852647705
2020-09-06,Polkadot,DOT,4.8,4092255324.16,852647705
